 PG1323-0860 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0860A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0860C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0860B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0860D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
 PG1323-0861 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0861A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0861C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0861B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0861D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
 PG1323-0862 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0862A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0862C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0862B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0862D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
 PG1323-0863 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0863A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0863C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0863B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0863D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
 PG1323-0864 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0864A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0864C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0864B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0864D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
 PG1323-0865 13:25:39  -08:49:16  13.481 -0.140 -0.681 -0.048 -0.078 -0.127  39  18  0.0019 0.0022 0.0026 0.0018 0.0045 0.0045
PG1323-0865A 13:25:49  -08:50:22  13.591  0.393 -0.019  0.252  0.252  0.506  20  12  0.0257 0.0022 0.0045 0.0027 0.0047 0.0060
PG1323-0865C 13:25:50  -08:48:37  14.003  0.707  0.245  0.395  0.363  0.759  26  13  0.0031 0.0027 0.0076 0.0024 0.0041 0.0049
PG1323-0865B 13:25:50  -08:51:53  13.406  0.761  0.265  0.426  0.407  0.833  23  13  0.0019 0.0029 0.0042 0.0023 0.0023 0.0031
PG1323-0865D 13:26:05  -08:50:34  12.080  0.587  0.005  0.346  0.335  0.684  15   6  0.0023 0.0018 0.0036 0.0013 0.0026 0.0031
