#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
1          2078.82 3773.01 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
2          248.381 3713.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
3          83.664  381.409 11.055  0.047   0.575   0.145   -0.090  0.140   INDEF   INDEF  
4          1015.12 1726.49 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
5          609.673 3957.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
6          2969.26 4054.46 11.025  0.029   0.553   0.071   -0.138  0.070   INDEF   INDEF  
7          609.194 3957.94 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
8          601.454 4112.45 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
9          97.804  3237.60 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
10         4025.42 3103.87 10.795  0.027   0.654   0.049   0.107   0.042   0.415   0.030  
11         3828.30 2214.57 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
12         2414.91 2565.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
13         3283.52 2172.57 10.363  0.016   1.452   0.036   1.259   0.035   1.044   0.022  
14         1711.38 1945.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
15         3701.70 3101.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
16         1366.55 3272.49 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
17         420.671 437.249 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
18         3022.24 2734.02 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
19         3291.50 1143.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
20         3247.97 2060.53 11.313  0.014   0.477   0.034   -0.095  0.033   0.315   0.016  
21         3365.92 1933.54 11.294  0.017   1.302   0.032   0.675   0.029   1.219   0.019  
22         3037.76 2064.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
23         3250.70 1230.00 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
24         1477.23 1191.87 10.841  0.020   0.403   0.046   -0.040  0.047   0.426   0.019  
25         3220.91 910.519 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
26         871.035 3828.90 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
27         1082.85 340.536 10.789  0.027   1.708   0.057   1.499   0.053   INDEF   INDEF  
28         3284.88 811.293 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
29         1898.72 561.051 11.711  0.029   0.901   0.058   0.431   0.053   0.799   0.031  
30         2166.05 796.147 11.852  0.031   0.797   0.056   -0.149  0.049   0.810   0.033  
31         3847.68 3170.99 11.946  0.026   0.517   0.039   0.029   0.029   0.400   0.026  
32         2660.01 1955.17 11.798  0.014   1.779   0.035   1.250   0.034   1.594   0.015  
33         2330.15 2942.60 11.884  0.010   1.475   0.023   0.917   0.023   1.410   0.011  
34         3129.57 1656.68 11.625  0.011   0.760   0.034   0.248   0.036   0.564   0.012  
35         2137.84 1930.68 11.850  0.013   0.783   0.025   0.114   0.022   0.609   0.013  
36         3483.31 3420.20 11.920  0.024   0.570   0.037   -0.047  0.029   0.415   0.024  
37         2514.70 1124.92 11.994  0.024   1.440   0.060   0.813   0.061   1.418   0.027  
38         85.729  383.510 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
39         321.382 1935.47 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
40         2971.87 4054.68 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
41         1229.76 1736.12 12.002  0.020   0.639   0.043   0.099   0.040   0.680   0.020  
42         1272.78 3277.18 12.297  0.012   0.591   0.031   0.143   0.029   0.466   0.013  
43         1531.86 892.340 11.622  0.025   0.447   0.049   0.013   0.048   0.380   0.025  
44         3980.62 3258.14 12.369  0.025   0.679   0.034   0.115   0.022   0.643   0.025  
45         3170.27 2082.05 12.264  0.011   1.888   0.032   1.205   0.034   1.771   0.012  
46         1564.94 1753.56 11.883  0.014   0.607   0.031   -0.274  0.030   0.576   0.014  
47         339.498 1760.32 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
48         2815.66 606.170 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
49         3261.01 3981.01 11.966  0.029   0.524   0.050   -0.001  0.041   0.392   0.029  
50         2461.79 1473.41 12.072  0.017   0.541   0.040   0.037   0.039   0.472   0.018  
51         2822.08 3028.38 12.025  0.016   1.224   0.033   1.104   0.031   0.973   0.016  
52         392.259 237.056 13.150  0.040   0.511   0.060   0.275   0.042   INDEF   INDEF  
53         2041.41 731.275 12.152  0.030   0.965   0.056   0.657   0.048   0.891   0.030  
54         366.665 4088.04 12.982  0.038   0.428   0.073   0.278   0.069   INDEF   INDEF  
55         1537.96 45.963  12.588  0.038   0.701   0.056   0.370   0.039   0.725   0.039  
56         3597.82 2248.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
57         2322.75 3070.50 12.048  0.013   0.621   0.028   0.047   0.029   0.483   0.014  
58         3269.05 1998.29 11.912  0.014   0.432   0.033   -0.179  0.032   0.296   0.014  
59         975.421 2365.89 12.009  0.022   2.023   0.039   1.403   0.033   2.075   0.022  
60         1845.32 354.278 12.333  0.029   0.713   0.062   0.234   0.058   0.559   0.031  
61         2901.15 3652.81 11.871  0.027   0.660   0.048   0.081   0.044   0.487   0.027  
62         2418.27 1271.60 12.392  0.026   0.559   0.044   -0.064  0.038   0.483   0.026  
63         3401.74 3158.12 12.372  0.021   0.753   0.032   0.198   0.026   0.547   0.021  
64         986.738 3820.95 12.482  0.025   1.451   0.058   1.126   0.060   1.418   0.027  
