#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
1          2078.82 3773.01 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
2          248.381 3713.10 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
3          83.664  381.409 11.055  0.048   0.568   0.145   -0.106  0.131   INDEF   INDEF  
4          1015.12 1726.49 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
5          609.673 3957.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
6          2969.26 4054.46 11.026  0.030   0.546   0.071   -0.152  0.066   INDEF   INDEF  
7          609.194 3957.94 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
8          601.454 4112.45 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
9          97.804  3237.60 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
10         4025.42 3103.87 10.795  0.028   0.646   0.049   0.083   0.039   0.427   0.030  
11         3828.30 2214.57 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
12         2414.91 2565.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
13         3283.52 2172.57 10.353  0.017   1.445   0.036   1.189   0.033   1.047   0.022  
14         1711.38 1945.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
15         3701.70 3101.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
16         1366.55 3272.49 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
17         420.671 437.249 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
18         3022.24 2734.02 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
19         3291.50 1143.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
20         3247.97 2060.53 11.315  0.014   0.470   0.034   -0.112  0.031   0.330   0.016  
21         3365.92 1933.54 11.286  0.018   1.294   0.032   0.631   0.027   1.223   0.019  
22         3037.76 2064.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
23         3250.70 1230.00 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
24         1477.23 1191.87 10.844  0.020   0.396   0.046   -0.061  0.044   0.441   0.020  
25         3220.91 910.519 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
26         871.035 3828.90 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
27         1082.85 340.536 10.775  0.028   1.700   0.057   1.420   0.050   INDEF   INDEF  
28         3284.88 811.293 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
29         1898.72 561.051 11.707  0.030   0.894   0.058   0.394   0.050   0.808   0.032  
30         2166.05 796.147 11.850  0.032   0.790   0.056   -0.158  0.046   0.821   0.033  
31         3847.68 3170.99 11.948  0.026   0.510   0.039   0.007   0.027   0.414   0.026  
32         2660.01 1955.17 11.783  0.014   1.772   0.035   1.185   0.032   1.593   0.015  
33         2330.15 2942.60 11.873  0.010   1.468   0.023   0.863   0.022   1.412   0.011  
34         3129.57 1656.68 11.624  0.011   0.753   0.034   0.218   0.034   0.575   0.012  
35         2137.84 1930.68 11.848  0.013   0.775   0.025   0.091   0.021   0.620   0.013  
36         3483.31 3420.20 11.921  0.024   0.563   0.037   -0.065  0.027   0.429   0.024  
37         2514.70 1124.92 11.984  0.024   1.433   0.060   0.764   0.057   1.421   0.027  
38         85.729  383.510 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
39         321.382 1935.47 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
40         2971.87 4054.68 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
41         1229.76 1736.12 12.002  0.020   0.632   0.043   0.075   0.037   0.693   0.020  
42         1272.78 3277.18 12.297  0.012   0.584   0.031   0.116   0.028   0.480   0.013  
43         1531.86 892.340 11.624  0.025   0.440   0.049   -0.009  0.045   0.395   0.025  
44         3980.62 3258.14 12.368  0.025   0.672   0.034   0.090   0.021   0.655   0.025  
45         3170.27 2082.05 12.247  0.011   1.880   0.032   1.143   0.032   1.768   0.012  
46         1564.94 1753.56 11.883  0.014   0.599   0.031   -0.280  0.028   0.589   0.015  
47         339.498 1760.32 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
48         2815.66 606.170 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
49         3261.01 3981.01 11.967  0.030   0.517   0.050   -0.022  0.038   0.406   0.029  
50         2461.79 1473.41 12.073  0.018   0.534   0.040   0.014   0.036   0.486   0.018  
51         2822.08 3028.38 12.017  0.017   1.217   0.033   1.038   0.029   0.979   0.017  
52         392.259 237.056 13.151  0.041   0.504   0.060   0.240   0.040   INDEF   INDEF  
53         2041.41 731.275 12.147  0.031   0.958   0.056   0.609   0.045   0.899   0.031  
54         366.665 4088.04 12.985  0.039   0.421   0.073   0.242   0.065   INDEF   INDEF  
55         1537.96 45.963  12.587  0.038   0.693   0.056   0.333   0.037   0.737   0.039  
56         3597.82 2248.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
57         2322.75 3070.50 12.048  0.013   0.614   0.028   0.025   0.027   0.495   0.014  
58         3269.05 1998.29 11.915  0.014   0.424   0.033   -0.193  0.030   0.311   0.014  
59         975.421 2365.89 11.990  0.022   2.015   0.039   1.333   0.031   2.070   0.022  
60         1845.32 354.278 12.331  0.030   0.705   0.062   0.204   0.054   0.571   0.031  
61         2901.15 3652.81 11.871  0.028   0.652   0.048   0.058   0.041   0.499   0.027  
62         2418.27 1271.60 12.392  0.026   0.552   0.044   -0.081  0.035   0.496   0.027  
63         3401.74 3158.12 12.370  0.021   0.745   0.032   0.170   0.024   0.558   0.022  
64         986.738 3820.95 12.471  0.026   1.444   0.058   1.062   0.056   1.421   0.027  
