     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
      1    2078.8250    3773.0100          nan       0.0610          nan          nan          nan          nan          nan          nan  
      2     248.3810    3713.1030          nan          nan          nan          nan          nan          nan       0.2278       0.0963  
      3      83.6640     381.4090      11.0551       0.0430       0.5748       0.1891          nan          nan      -0.0728       0.1116  
      4    1015.1180    1726.4940          nan          nan          nan          nan          nan          nan       0.2435       0.0729  
      5     609.6730    3957.3620          nan          nan          nan          nan          nan          nan       1.9880       0.1926  
      6    2969.2650    4054.4600      11.0257       0.0270       0.5529       0.0964          nan          nan      -0.1178       0.0694  
      7     609.1940    3957.9430          nan       0.0430          nan          nan       0.8299       0.0722          nan          nan  
      8     601.4540    4112.4470          nan          nan          nan          nan          nan          nan       0.0486       0.1179  
      9      97.8040    3237.5980          nan       0.0320          nan          nan       0.2989       0.0547          nan          nan  
     10    4025.4180    3103.8660      10.7957       0.0250       0.6541       0.0695       0.4402       0.0401       0.1103       0.0396  
     11    3828.3020    2214.5690          nan          nan          nan          nan          nan          nan          nan          nan  
     12    2414.9140    2565.3870          nan          nan          nan          nan          nan          nan       0.0065       0.0288  
     13    3283.5180    2172.5730      10.3609       0.0150       1.4618       0.0500       1.0810       0.0303       1.2136       0.0352  
     14    1711.3830    1945.4640          nan          nan          nan          nan          nan          nan       0.0614       0.0212  
     15    3701.7020    3101.0860          nan          nan          nan          nan          nan          nan          nan          nan  
     16    1366.5500    3272.4930          nan       0.0091          nan          nan       0.4195       0.0167          nan          nan  
     17     420.6710     437.2490          nan          nan          nan          nan          nan          nan       1.0511       0.0400  
     18    3022.2360    2734.0220          nan          nan          nan          nan          nan          nan       1.1157       0.0266  
     19    3291.5040    1143.6130          nan       0.0091          nan          nan       0.6652       0.0168          nan          nan  
     20    3247.9670    2060.5260      11.3140       0.0130       0.4760       0.0464       0.3358       0.0207      -0.0874       0.0319  
     21    3365.9170    1933.5350      11.2925       0.0160       1.3093       0.0451       1.2367       0.0244       0.6801       0.0294  
     22    3037.7610    2064.6150          nan          nan          nan          nan          nan          nan          nan          nan  
     23    3250.6950    1229.9990          nan          nan          nan          nan          nan          nan          nan          nan  
     24    1477.2270    1191.8690      10.8422       0.0180       0.4004       0.0634       0.4357       0.0229      -0.0463       0.0470  
     25    3220.9100     910.5190          nan       0.0100          nan          nan       0.7327       0.0158          nan          nan  
     26     871.0350    3828.8960          nan       0.1520          nan          nan          nan          nan          nan          nan  
     27    1082.8510     340.5360      10.7861       0.0250       1.7204       0.0793          nan          nan       1.4525       0.0516  
     28    3284.8800     811.2930          nan          nan          nan          nan          nan          nan          nan          nan  
     29    1898.7180     561.0510      11.7104       0.0270       0.9042       0.0817       0.8173       0.0411       0.4226       0.0515  
     30    2166.0540     796.1470      11.8516       0.0290       0.7993       0.0793       0.8218       0.0411      -0.1021       0.0490  
     31    3847.6760    3170.9900      11.9472       0.0240       0.5163       0.0561       0.4186       0.0305       0.0271       0.0267  
     32    2660.0100    1955.1700      11.7941       0.0130       1.7924       0.0476       1.6192       0.0187       1.2391       0.0321  
     33    2330.1540    2942.5960      11.8813       0.0091       1.4849       0.0318       1.4275       0.0149       0.9121       0.0229  
     34    3129.5740    1656.6790      11.6253       0.0100       0.7615       0.0439       0.5869       0.0157       0.2454       0.0369  
     35    2137.8370    1930.6750      11.8497       0.0120       0.7847       0.0354       0.6310       0.0153       0.1289       0.0198  
     36    3483.3080    3420.1960      11.9205       0.0220       0.5699       0.0525       0.4357       0.0291      -0.0356       0.0283  
     37    2514.7040    1124.9180      11.9918       0.0220       1.4496       0.0817       1.4329       0.0362       0.8162       0.0603  
     38      85.7290     383.5100          nan          nan          nan          nan          nan          nan          nan          nan  
     39     321.3820    1935.4690          nan       0.0130          nan          nan       0.4294       0.0216          nan          nan  
     40    2971.8740    4054.6780          nan          nan          nan          nan          nan          nan      -0.1472       0.3312  
     41    1229.7600    1736.1210      12.0027       0.0180       0.6395       0.0598       0.6895       0.0233       0.1015       0.0362  
     42    1272.7770    3277.1840      12.2970       0.0110       0.5907       0.0415       0.4852       0.0176       0.1358       0.0264  
     43    1531.8630     892.3400      11.6231       0.0230       0.4455       0.0683       0.3952       0.0304       0.0056       0.0504  
     44    3980.6240    3258.1390      12.3689       0.0230       0.6797       0.0482       0.6571       0.0298       0.1191       0.0209  
     45    3170.2750    2082.0530      12.2595       0.0100       1.9022       0.0427       1.7920       0.0158       1.2097       0.0333  
     46    1564.9380    1753.5620      11.8829       0.0130       0.6065       0.0427       0.5896       0.0175      -0.2323       0.0297  
     47     339.4980    1760.3250          nan       0.0170          nan          nan       0.4546       0.0253          nan          nan  
     48    2815.6570     606.1700          nan       0.0180          nan          nan       0.6337       0.0301          nan          nan  
     49    3261.0070    3981.0100      11.9667       0.0270       0.5236       0.0708       0.4114       0.0333       0.0007       0.0378  
     50    2461.7920    1473.4080      12.0725       0.0160       0.5407       0.0549       0.4879       0.0229       0.0359       0.0378  
     51    2822.0830    3028.3800      12.0228       0.0150       1.2312       0.0464       1.0009       0.0203       1.0521       0.0305  
     52     392.2590     237.0560      13.1506       0.0370       0.5102       0.0854          nan          nan       0.2444       0.0374  
     53    2041.4080     731.2750      12.1509       0.0280       0.9689       0.0793       0.9073       0.0370       0.6292       0.0452  
     54     366.6650    4088.0420      12.9834       0.0350       0.4260       0.1025          nan          nan       0.2386       0.0709  
     55    1537.9570      45.9630      12.5884       0.0350       0.7017       0.0793       0.7354       0.0484       0.3482       0.0356  
     56    3597.8220    2248.7470          nan       0.0130          nan          nan       0.5212       0.0171          nan          nan  
     57    2322.7520    3070.4950      12.0479       0.0120       0.6212       0.0390       0.5023       0.0176       0.0535       0.0297  
     58    3269.0470    1998.2860      11.9132       0.0130       0.4296       0.0451       0.3151       0.0172      -0.1667       0.0306  
     59     975.4210    2365.8880      12.0041       0.0200       2.0388       0.0556       2.0863       0.0272       1.3997       0.0300  
     60    1845.3230     354.2780      12.3325       0.0270       0.7139       0.0866       0.5797       0.0396       0.2288       0.0541  
     61    2901.1450    3652.8060      11.8712       0.0250       0.6602       0.0683       0.5086       0.0303       0.0878       0.0441  
     62    2418.2730    1271.6020      12.3922       0.0240       0.5590       0.0634       0.4987       0.0329      -0.0512       0.0367  
     63    3401.7410    3158.1180      12.3718       0.0190       0.7542       0.0451       0.5707       0.0271       0.2004       0.0264  
     64     986.7380    3820.9540      12.4790       0.0230       1.4605       0.0793       1.4338       0.0350       1.0952       0.0617  
     65    2857.7920    3912.0040      12.1776       0.0290       3.8432       0.3501       1.4419       0.0382      -1.2231       0.2399  
     66    3683.8720    3788.8970      12.2919       0.0250       0.5053       0.0622       0.4321       0.0306      -0.0610       0.0324  
